CDS_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO_ID
CDS_34098	111.663780236993	7.0803313295871	1.01768449061399	6.95729510952399	3.46867876060371e-12	5.0578813190803e-10	K02902
CDS_32022	111.559744466437	6.50018790133383	1.02681490373819	6.33043782055503	2.44466521212719e-10	2.53194204493397e-08	<NA>
CDS_6467	110.236289181089	7.70974700652597	1.24505319049826	6.19230332114616	5.92913110640759e-10	5.8216784574454e-08	K01155
CDS_13278	109.724810334869	8.32540260942993	1.41534063108625	5.88226072690384	4.04700153164739e-09	3.20349078383688e-07	K02338
CDS_35280	108.335869926373	9.32127065572841	1.56804654285805	5.94451146758609	2.77282558864172e-09	2.3308945970169e-07	K02871
CDS_16228	106.409879931022	6.63586248778745	1.02502270037198	6.47386880834862	9.55248497904174e-11	1.12617700572064e-08	<NA>
CDS_19656	105.873931508669	3.45609317365932	0.819029489204133	4.219742047405	2.44582004958148e-05	0.000657878101685971	K02256
CDS_47976	104.033482756609	3.38304754037486	0.931895224956898	3.63028745053537	0.000283105756237804	0.00484911590514273	<NA>
CDS_36271	103.786607217179	8.16968285348835	1.3730245517472	5.95013602858903	2.67919727738235e-09	2.31959876780869e-07	<NA>
CDS_23853	103.279315861568	7.67766028226253	1.19478201380565	6.42599251875867	1.31011845902356e-10	1.49677657349475e-08	<NA>
CDS_33443	103.222677777135	7.17425167347963	1.12550974377833	6.37422440199912	1.83891172315793e-10	1.97852618602293e-08	<NA>
CDS_23486	103.061373070629	3.85183353575053	0.961261569095761	4.00706078302274	6.147904541938e-05	0.00142236071260453	K02358
CDS_19940	102.022598201652	10.6597521309396	1.73941277976334	6.12836254565745	8.87880865139046e-10	8.40982542518881e-08	K01991
CDS_20020	101.562968463104	9.23217496523156	1.63109998856675	5.66009136775477	1.51292424073974e-08	1.061153571891e-06	K03770
CDS_32021	101.498938697721	7.20231897296585	1.16314349899885	6.19211557229617	5.93619983478912e-10	5.8216784574454e-08	K01647
CDS_46889	101.131581506965	5.81518054788745	1.05589492553301	5.50734775522476	3.64280210265692e-08	2.29372346032068e-06	<NA>
CDS_10879	101.068484508541	6.13880840646242	1.06368461055576	5.77126748431094	7.86774674227509e-09	5.85170264415386e-07	K03696
CDS_9022	100.625222918313	6.63839627414071	0.999302502066815	6.64302977367794	3.07299732600882e-11	4.00646545492114e-09	K03671
CDS_4719	98.9175690545576	9.20096381537123	1.79072823306572	5.13811288920106	2.77511162649727e-07	1.42378643726124e-05	<NA>
CDS_36206	98.7645698131793	7.10651243002663	1.15645153406892	6.14510182283444	7.99122348986861e-10	7.63437402713138e-08	K04649
CDS_35856	98.4288436463785	6.20724169393867	1.29809928036886	4.78179272403175	1.73738774611747e-06	7.07857757443888e-05	<NA>
CDS_42652	98.245373276279	8.08900046710307	1.37941673531921	5.86407302448103	4.51648692330055e-09	3.52476817493075e-07	<NA>
CDS_12976	98.203868836272	23.2979407357198	4.7855062380224	4.86843806630323	1.12483763561856e-06	4.75780560226139e-05	<NA>
CDS_5708	97.884618425661	-4.16192385287516	1.21987843068669	-3.41175296503303	0.000645465799879169	0.00924166924323121	<NA>
CDS_44300	97.7937251593528	6.73748264919565	1.17938002317283	5.71273255169281	1.11176333774342e-08	8.0526544502435e-07	K03654
CDS_28258	97.5876433097374	7.68866612516605	1.49612477127788	5.1390540901204	2.76124913900264e-07	1.42326339341522e-05	<NA>
CDS_10627	97.1476227125159	7.02230406837268	1.16715215072594	6.01661408412347	1.78102993277992e-09	1.57898989720537e-07	K02492
CDS_13736	96.2399393210662	4.72444247957076	1.13293559579183	4.17008918875814	3.04480455013237e-05	0.000793941741754517	<NA>
CDS_6745	95.8594379298063	-2.85110733475846	0.748654574362885	-3.80830817361236	0.000139920828360333	0.00280398303777433	<NA>
CDS_36782	92.443426893772	9.045847636995	1.76969893255403	5.1115178240742	3.19580664874589e-07	1.60253073671502e-05	<NA>
CDS_14229	91.4771440884306	6.63515947610374	1.22742322758474	5.4057633316587	6.4532961972634e-08	3.83690258242036e-06	K03744
CDS_45965	91.3748518793758	6.27628041303399	1.38985724058766	4.5157734404292	6.30860839596141e-06	0.000211214496205572	<NA>
CDS_43501	90.6394489378816	2.66342602415924	0.749312272895871	3.55449406142233	0.000378707064002606	0.00606478566947525	<NA>
CDS_35593	90.1386898583876	7.95151157048929	1.4481394836995	5.49084646886078	4.00011966756848e-08	2.47649866793262e-06	<NA>
CDS_1674	90.0535219507045	3.73279301426828	1.07968506998827	3.45729798255786	0.000545621159957773	0.00810532666843437	<NA>
CDS_31227	89.9791212760824	7.95843233264043	1.39654588218939	5.69865439735058	1.20756741123551e-08	8.68978055279996e-07	<NA>
CDS_19949	89.8450876161367	6.32630837778404	1.18151657978451	5.3543966170478	8.58423836604033e-08	5.00686997749784e-06	<NA>
CDS_3079	89.252572567397	5.79976695840855	1.18101548018809	4.91083059934562	9.06914123030787e-07	3.972498937323e-05	K03086
CDS_24128	88.1694971237613	4.65625740763588	1.06312878779782	4.37976796515962	1.18805745986297e-05	0.000358748031885598	K07323
CDS_8282	87.8926604786676	7.11602577768453	1.26778898492482	5.61294179260162	1.98915526073418e-08	1.35238150916909e-06	<NA>
CDS_18464	87.8845063513212	10.444572155302	1.73186340071902	6.03082907749291	1.63120642571734e-09	1.46967720404874e-07	<NA>
CDS_4498	86.4947383317267	6.21157850558936	1.07528299833958	5.77669182455327	7.61836373825621e-09	5.70450722617265e-07	<NA>
CDS_37435	86.0797753282917	4.55146801988592	0.836292348040188	5.44243652420361	5.25566909616541e-08	3.18269535102214e-06	<NA>
CDS_35480	85.9827494245707	5.50255693654147	1.11446099842045	4.93741543610798	7.91647151946176e-07	3.53751360397884e-05	<NA>
CDS_10878	85.9559189228568	8.9462798207729	1.70961334167344	5.23292583340272	1.66847698609126e-07	9.33841513124409e-06	K02520
CDS_18148	85.8183550628394	6.31856140955562	1.0663013188623	5.92568094757426	3.11005908206554e-09	2.55301294425558e-07	<NA>
CDS_39451	85.5960154918401	6.15374262699965	1.06255131377829	5.79147806529715	6.97696721373986e-09	5.32363999447094e-07	<NA>
CDS_6553	85.5237800017971	-3.75669122508301	1.10781544476883	-3.39108038511499	0.000696176787467861	0.00964859926577546	<NA>
CDS_36233	84.9015260652924	3.15773303674127	0.864457069555955	3.65285119174663	0.000259344539782808	0.00453321165595123	K02358
CDS_607	84.8805106365927	7.9539143291687	1.41385770697971	5.625682336987	1.84776109074441e-08	1.27185642283413e-06	<NA>
CDS_10681	83.6221601042554	2.67831963658169	0.7602497761517	3.52294695848389	0.00042677676219204	0.00668014135397201	K09969
CDS_51766	83.557866145787	7.92978386355415	1.46707221351504	5.40517623502305	6.4744701580275e-08	3.83690258242036e-06	<NA>
CDS_27806	83.4858547587826	7.37182542708861	1.2832117333317	5.74482389429887	9.20167020535976e-09	6.79819394771979e-07	<NA>
CDS_37191	83.274437068805	8.95258147030775	1.79669177129511	4.98281431091235	6.26660816526513e-07	2.889226492708e-05	K13628
CDS_49174	83.2499768719287	7.92263324104903	1.5379800354582	5.15132385232082	2.5865409340731e-07	1.35207767129237e-05	<NA>
CDS_21124	83.1844243989158	6.26186888811904	1.22545168205467	5.10984560208853	3.22422191972578e-07	1.60949672587392e-05	<NA>
CDS_34097	82.4456014221409	6.21639008472336	1.04563180722521	5.94510423436696	2.76280992180886e-09	2.3308945970169e-07	K02913
CDS_48942	81.4872634357556	6.52710348192174	1.17426273016862	5.55846942445707	2.72150620272094e-08	1.80597196039242e-06	K06949
CDS_36944	81.4794353181396	6.80718520306322	1.3585984140451	5.01044689342412	5.43037828193307e-07	2.60517108746244e-05	<NA>
CDS_41860	81.3285171934733	10.3327538159696	1.74197872273018	5.93161884306782	2.99962325098541e-09	2.48073319906122e-07	<NA>
CDS_48242	80.7682495483793	3.56091557350331	1.01970288023482	3.49211093008122	0.000479219180965277	0.00727494104583178	<NA>
CDS_46980	80.5874001116454	-4.04213645420097	0.953931438438363	-4.23734483561854	2.2617862318489e-05	0.00061434105444484	K00526
CDS_34096	80.5656704564881	6.86799198976445	1.07006126183198	6.41831662797155	1.37789445164914e-10	1.5581455421608e-08	<NA>
CDS_21670	80.2225641542179	10.3129708077503	1.73493392078399	5.9443017882145	2.77637688870449e-09	2.3308945970169e-07	<NA>
CDS_5035	80.1619110849011	8.89210687777025	1.66928009877049	5.32691121419332	9.98969631481854e-08	5.76592784170933e-06	<NA>
CDS_43833	79.9472271257928	8.84163655341825	1.70839341336072	5.17541011588492	2.27410892271292e-07	1.20007976578593e-05	<NA>
CDS_52690	79.8474777273006	4.94775773393318	0.993066404112437	4.98230300959107	6.28319423157037e-07	2.889226492708e-05	<NA>
CDS_24661	79.6979834288094	10.3036286412912	1.82381573526447	5.64948993588819	1.60924605947699e-08	1.12161414032226e-06	<NA>
CDS_4670	79.4630267634334	7.22833930596104	1.32730626964502	5.44587143997613	5.15523622205509e-08	3.15637170236544e-06	<NA>
CDS_9587	78.8261647149069	7.84546296674562	1.46365768303753	5.36017612428605	8.31408556155855e-08	4.87495747053925e-06	K03797
CDS_27748	78.4053885425367	4.15753640193148	1.0997808505039	3.78033169065142	0.00015661956649599	0.00308835949449921	K02892
CDS_1429	78.3876552798347	5.21855187953828	1.05775989491984	4.93358833569102	8.07325042474015e-07	3.5930827793964e-05	K06142
CDS_46685	78.0638090371382	8.8635665447672	1.9218426455393	4.61201470647976	3.98784772484423e-06	0.000143484832749103	<NA>
CDS_8693	77.8283728580263	10.268366698034	1.67786508613376	6.11990009381207	9.36340449828221e-10	8.79366513982741e-08	<NA>
CDS_39779	77.7303112166502	6.66221048162673	1.39666285489883	4.7700921222748	1.84141686704507e-06	7.35596727022658e-05	<NA>
CDS_21500	77.7165710486442	7.26868730054113	1.3114473187964	5.54249278363091	2.98195697090283e-08	1.93251737728334e-06	K03561
CDS_43478	76.8363342764543	10.250415991662	1.70050456708426	6.02786736952884	1.66137297051019e-09	1.4847851015479e-07	<NA>
CDS_7477	76.8325832225116	8.83183702390847	1.69082373029006	5.22339311052453	1.75673889800876e-07	9.73409023386653e-06	<NA>
CDS_14503	75.9595057319201	6.37175910827982	1.15477193513834	5.51776408344779	3.43339913701807e-08	2.18672007105944e-06	K02343
